#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"
CLN     =   "countries/Cleanup.txt"

### NEW NATIONS MOD ###

###France Mod###
UTI		="countries/Utility Tag.txt"
VDB             ="countries/Vidarbha.txt"
NYK             ="countries/Nayaka.txt"
HTW             ="countries/Pegu.txt"
HRP             ="countries/Haripunjaya.txt"
BHN             ="countries/Bahnar.txt"
RHN             ="countries/Rohingya.txt"
TNJ             ="countries/Tanjore.txt"
MDR             ="countries/Madras.txt"
VLL             ="countries/Vellore.txt"
KLD             ="countries/Keladi.txt"
TSI             ="countries/Tusi.txt"
SZE             ="countries/Szekelyland.txt"
NOG             ="countries/Nogay.txt"
MNK             ="countries/Minsk.txt"
NNT             ="countries/Nenetsia.txt"
YML             ="countries/Yamalia.txt"
KHN             ="countries/Khantia.txt"
BSK             ="countries/Bashkortostan.txt"
MSS             ="countries/Muscovy.txt"
SLK             ="countries/Selkupia.txt"
SHR             ="countries/Shoria.txt"
SYN             ="countries/Sayan.txt"
PLK             ="countries/Pleskov.txt"
TYM             ="countries/Tymyr.txt"
YDN             ="countries/Yedisan.txt"
RTH             ="countries/Great Ruthenia.txt" 
BGH             ="countries/Bulgharia.txt"
KMY             ="countries/Kumykistan.txt"
GMZ             ="countries/Gazikumukh.txt"
KCN             ="countries/Khachen.txt"
HNZ             ="countries/Hunza.txt"
TTN             ="countries/Tatistan.txt"
KRB             ="countries/Karabagh.txt"
GNJ             ="countries/Ganjeh.txt"
NKH             ="countries/Nakhichevan.txt"
IRV             ="countries/Irevan.txt"
MKU             ="countries/Maku.txt"
TLY             ="countries/Talyshistan.txt"
SMZ             ="countries/Samtskhe.txt"
GRI             ="countries/Guria.txt"
IMR             ="countries/Imereti.txt"
KKH             ="countries/Kakheti.txt"
KRT             ="countries/Kartli.txt"
FRS             ="countries/Fars.txt"
AJM             ="countries/Ajam.txt"
YZD             ="countries/Yazd.txt"
LUR             ="countries/Luristan.txt"
GLN             ="countries/Gilan.txt"
MZN             ="countries/Mazandaran.txt"
BDK		        ="countries/Badakhshan.txt"
KND		        ="countries/Kunduz.txt"
SST		        ="countries/Sistan.txt"
BLA		        ="countries/Bela.txt"
TKO		        ="countries/Tourkistan.txt"
WSX		        ="countries/WSX.txt"
SUX		        ="countries/SUX.txt"
ESX		        ="countries/ESX.txt"
KNT		        ="countries/KNT.txt"
MRC		        ="countries/MRC.txt"
ALH		        ="countries/Al Ahsa.txt"
ALW		        ="countries/Aghwank.txt"
MDS		        ="countries/Madistan.txt"
GJR		        ="countries/Gujarat.txt"
DCC		        ="countries/Deccan.txt"
WDD		        ="countries/Waddai.txt"
TMB		        ="countries/Timbuktu.txt"
MTF		        ="countries/Tafilalt.txt"
ZYD		        ="countries/Zayyanids.txt"
MZB		        ="countries/Mzab.txt"
BBB		        ="countries/Beni Abbas.txt"
TBT		        ="countries/Tibesti.txt"
FTM		        ="countries/Fatimid.txt"
AZH		        ="countries/Anizzah.txt"
VGR		        ="countries/Vagerland.txt"
ANC		        ="countries/Ancona.txt"
SNA		        ="countries/Siena.txt"
ABA		        ="countries/Alba.txt"
FRR				="countries/Ferrara.txt"
MTU				="countries/Mantua.txt"
RGU				="countries/Ragusa.txt"
NLI				="countries/Noli.txt"
MFT				="countries/Montferrat.txt"
ATI				="countries/Asti.txt"
PVI				="countries/Pavia.txt"
DMC		        ="countries/Damascus.txt"
MML		        ="countries/Mamluks.txt"
MDB		        ="countries/Medri Bahri.txt"
GJM		        ="countries/Gojjam.txt"
INY		        ="countries/Innarya.txt"
AGW		        ="countries/Agew.txt"
MLO		        ="countries/Mello.txt"
RRI		        ="countries/Rer Ishak.txt"
OGD		        ="countries/Ogodam.txt"
JMM		        ="countries/Gibe.txt"
SMN		        ="countries/Semien.txt"
ORM		        ="countries/Oromiya.txt"
ADL		        ="countries/Adal.txt"
JWE		        ="countries/Jewish Ethiopia.txt"
EPI		= "countries/Epirus.txt"
MRE		= "countries/Morea.txt"
ATH		= "countries/Athens.txt"
VND		= "countries/Venda.txt"
NYM		= "countries/Nyamwezi Nation.txt"
#GGO		= "countries/Gogo Nation.txt"
KLW		= "countries/Kilwa.txt"
SFL		= "countries/Sofala.txt"
MHJ		= "countries/Mahajanga.txt"
MBS		= "countries/Mombasa.txt"
KGW		= "countries/Karagwe.txt"
NKL		= "countries/Nkale.txt"
ITS		= "countries/Iteso.txt"
BTS		= "countries/Barotse.txt"
BBM		= "countries/Bemba.txt"
CKW		= "countries/Chokwe.txt"
OVB		= "countries/Ovimbundu.txt"
SWA		= "countries/Swahili Union.txt"
UTT		= "countries/Utetera.txt"
UJJ		= "countries/Ujija.txt"
DWS		= "countries/Dawasir.txt"
QTN		= "countries/Qahtan.txt"
MBD		= "countries/Mbunda.txt"
MTB		= "countries/Matamba.txt"
NDG		= "countries/Ndongo.txt"
TQL		= "countries/Teqali.txt"
SNR		= "countries/Funj.txt"
DKT		= "countries/Dar Al-Kuti.txt"
BGS		= "countries/Bang Assu.txt"
BRM		= "countries/Bagirmi.txt"
BDA		= "countries/Bida.txt"
HJI		= "countries/Hadejia.txt"
HKB		= "countries/Kebbi.txt"
HKN		= "countries/Kano.txt"
HKT		= "countries/Katsina.txt"
HZF		= "countries/Zamfara.txt"
HZZ		= "countries/Zazzau.txt"
SGH		= "countries/Songhai.txt"
IGL		= "countries/Igala.txt"
ADW		= "countries/Adamawa.txt"
HBC		= "countries/Bauchi.txt"
WKR		= "countries/Wukari.txt"
IFE		= "countries/Ife.txt"
EGB		= "countries/Egbaland.txt"
IBD		= "countries/Ibadan.txt"
EKT		= "countries/Etiki.txt"
OPB		= "countries/Opobo.txt"
BSS		= "countries/Bussa.txt"
TGW		= "countries/Ewe.txt"
BLK		= "countries/Bamileke.txt"
KJJ		= "countries/Kel Ajjer.txt"
KDG		= "countries/Kel Adagh.txt"
KIR		= "countries/Kel Air.txt"
GHD		= "countries/Ghadames.txt"
WSL		= "countries/Wassulu.txt"
MNH		= "countries/Manneh.txt"
ZBY		= "countries/Zubayr.txt"
NBI		= "countries/Nubia.txt"
FZZ		= "countries/Fezzan.txt"
GBR		= "countries/Gobir.txt"
HDR		= "countries/Daura.txt"
HRO		= "countries/Rano.txt"
BYR		= "countries/Yauri.txt"
GWR		= "countries/Gwari.txt"
KWF		= "countries/Kwararafa.txt"
TWT		= "countries/Twat.txt"
NGN		= "countries/Ngunistan.txt"
APC		= "countries/Apache.txt"
CDD		= "countries/Caddo.txt"
LNP		= "countries/Lenape.txt"
PHL		= "countries/Philippiana.txt"
SHE		= "countries/Shawnee.txt"
SSX		= "countries/Sioux.txt"
MIA		= "countries/Miami.txt"
HRN		= "countries/Huroni.txt"
YCH		= "countries/Yuchi.txt"
ASB		= "countries/Assiniboine.txt"
CEE		= "countries/Cree.txt"
BCK		= "countries/Blackfoot.txt"
ABS		= "countries/Crow.txt"
CYN		= "countries/Cheyenne.txt"
CMM		= "countries/Commanche.txt"
SHS		= "countries/Shoshone.txt"
YKM		= "countries/Yakama.txt"
CSH		= "countries/Chumash.txt"
TXL		= "countries/Tlaxcala.txt"
TRS	    = "countries/Tarasco.txt"
CLL	    = "countries/Collima.txt"
TTT	    = "countries/Teotitlan.txt"
TLP	    = "countries/Yopitzinco.txt"
TTP	    = "countries/Tututepec.txt"
OTS	    = "countries/Otomi.txt"
ATL	    = "countries/Autlan.txt"
GMR	    = "countries/Guamar.txt"
KQC	    = "countries/Kaqchikel.txt"
LNC	    = "countries/Lenca.txt"
PPL	    = "countries/Pipel.txt"
MTG	    = "countries/Matagalpa.txt"
MPC	    = "countries/Mapuche.txt"
HLC	    = "countries/Huilliches.txt"
DGT	    = "countries/Diaguita.txt"
CQT	    = "countries/Chiquita.txt"
GNI	    = "countries/Guarani.txt"
ACM	    = "countries/Atacama.txt"
ABP	    = "countries/Abipon.txt"
CCH	    = "countries/Comechingon.txt"
QLW	    = "countries/Qalwu Federation.txt"
HRB	    = "countries/al-Haribun.txt"
TPB	    = "countries/Tupinamba.txt"
MRA	    = "countries/Mura.txt"
CHM	    = "countries/Chimu.txt"
QLS	    = "countries/Qullasuyu.txt"
ARS	    = "countries/Sachaqasuyu.txt"
KKR	    = "countries/Kuikuro.txt"
YXI	    = "countries/Xiu.txt"
YKL	    = "countries/Kupul.txt"
YKB	    = "countries/Ekab.txt"
YCC	    = "countries/Chactemal.txt"
YTZ	    = "countries/Itza.txt"
LPN	    = "countries/Lipan.txt"
OPT	    = "countries/Opata.txt"
YVP	    = "countries/Yavapai.txt"
ODH	    = "countries/Oodham.txt"
HPI	    = "countries/Hopi.txt"
STE	    = "countries/Ute.txt"
SSH	    = "countries/Salish.txt"
CNK	    = "countries/Chinook.txt"
YRK	    = "countries/Yurok.txt"
MDC	    = "countries/Modoc.txt"
PMO	    = "countries/Pomo.txt"
YKT	    = "countries/Yokut.txt"
ZCT	    = "countries/Zacatec.txt"
GCC	    = "countries/Guachichil.txt"
TNL	    = "countries/Tonallan.txt"
NCY	    = "countries/Nicoya.txt"
WRP	    = "countries/Warpe.txt"
SGT	    = "countries/Shigatse.txt"
THR	    = "countries/Hor Tribes.txt"
NGC	    = "countries/Nangchen.txt"
GLK	    = "countries/Golok.txt"
SLR	    = "countries/Salar.txt"
DSM	    = "countries/Dasima.txt"
RGW	    = "countries/Rongwa.txt"
SGR	    = "countries/Sogwo Arig.txt"
TPW	    = "countries/Powo.txt"
DRG	    = "countries/Derge.txt"
HRS	    = "countries/Horpa.txt"
LGT	    = "countries/Lingtsang.txt"
CHJ	    = "countries/Chuosijia.txt"
TSM	    = "countries/Meu Tusi.txt"
SMT	    = "countries/Suomo.txt"
LBR	    = "countries/Labrung.txt"
CHN	    = "countries/Choni.txt"
BTH	    = "countries/Bathong.txt"
LTH	    = "countries/Lithang.txt"
CKL	    = "countries/Chakla.txt"
TML	    = "countries/Muli.txt"
NGG	    = "countries/Ninglang.txt"
KHT	    = "countries/Khoshuud.txt"
MTS	    = "countries/Miao Tusis.txt"
SDG	    = "countries/Shuidong.txt"
MGE	    = "countries/Muege.txt"
KKG	    = "countries/Kokang.txt"
CGH	    = "countries/Chianghung.txt"
MGN	    = "countries/Manglon.txt"
KGT	    = "countries/Kengtung.txt"
MGP	    = "countries/Mongpan.txt"
LWK	    = "countries/Lawksawk.txt"
HSW	    = "countries/Hsipaw.txt"
MGM	    = "countries/Mongmit.txt"
HSN	    = "countries/Hsenwi.txt"
ZNI	    = "countries/Zuni.txt"
NBE	    = "countries/Nembe.txt"
CCT	    = "countries/Cochiti.txt"
ISL	    = "countries/Isleta.txt"
ACO	    = "countries/Acoma.txt"
JMZ	    = "countries/Jemez.txt"
PIE		= "countries/Piemont.txt"
TSC		= "countries/The Kingdom of Tuscany.txt"
PRO		= "countries/Provance.txt"
GOD		= "countries/GOD.txt"
TSR	    = "countries/Tuscarora.txt"
NTC	    = "countries/Nanticoke.txt"
MKG	    = "countries/Muskogee.txt"
KHZ	    = "countries/Khuzestan.txt"
MFQ	    = "countries/Muntafiq.txt"
WKH	    = "countries/Wakhan.txt"
RSH	    = "countries/Rushan-Shighnan.txt"
KSN	    = "countries/Dhir.txt"
HSR	    = "countries/Hissar.txt"
GLG	    = "countries/Gilgit.txt"
KFR	    = "countries/Kafiristan.txt"
KTG	    = "countries/Kaitag.txt"
LZG	    = "countries/Lezgistan.txt"
TSK	    = "countries/Tsakhur.txt"
KHL	    = "countries/Khalidi.txt"
KLS	    = "countries/Kilis.txt"
RMZ	    = "countries/Ramadanids.txt"
HKK	    = "countries/Hakkari.txt"
HRZ	    = "countries/Hazaristan.txt"
QRI	    = "countries/Qarai.txt"
BYT	    = "countries/Bayat.txt"
JYL	    = "countries/Jayaler.txt"
KST	    = "countries/Kohistan.txt"
MSM	    = "countries/Mishmast.txt"
BRL	    = "countries/Baharlu.txt"
AFS	    = "countries/Afshar.txt"
MHL	    = "countries/Mogholistan.txt"
ABZ	    = "countries/Abaza.txt"
KBD	    = "countries/Kabarda.txt"
NPT	    = "countries/Neo-Parthia.txt"
MTH	    = "countries/Athos.txt"
THY	    = "countries/Thessaly.txt"
AOM	    = "countries/Aromania.txt"
ZNB	    = "countries/Zenebishi.txt"
GRP	    = "countries/Gorpaj.txt"
THP	    = "countries/Thopia.txt"
MRD	    = "countries/Mirdita.txt"
ZHR	    = "countries/Zaharia.txt"
BLL	    = "countries/Boullion.txt"
OSN	    = "countries/Osnabrück.txt"
SMM	    = "countries/Simmern.txt"
MAG     = "countries/Magdeburg.txt"
MAI     = "countries/Mainz.txt"
MSN     = "countries/Misna.txt"
LUS     = "countries/Lusatia.txt"
LBZ     = "countries/Lubusz.txt"
POM     = "countries/Pomerania.txt"
HNB     = "countries/Henneberg.txt"
BGU     = "countries/Breisgau.txt"
KNZ     = "countries/Konstanz.txt"
SPY     = "countries/Speyer.txt"
ANS     = "countries/Ansbach.txt"
ZWB     = "countries/Zweibrücken.txt"
ULM     = "countries/Ulm.txt"
AUG     = "countries/Augsburg.txt"
SAL     = "countries/Salzburg.txt"
BRX     = "countries/Brixen.txt"
ROT     = "countries/Rothenburg.txt"
BAY     = "countries/Bayreuth.txt"
BMB     = "countries/Bamberg.txt"
MBG     = "countries/Amberg.txt"
NRM     = "countries/Nurnberg.txt"
SLB     = "countries/Sulzbach.txt"
TIR     = "countries/Tyrol.txt"
FSN     = "countries/Freising.txt"
MMG     = "countries/Memmingen.txt"
NRG     = "countries/Neuburg.txt"
LDH     = "countries/Landshut.txt"
INL     = "countries/Ingolstadt.txt"
JSZ     = "countries/Jaszsag.txt"
GAL	    = "countries/Galich.txt"
VLA	    = "countries/Vladimir.txt"
VYA	    = "countries/Vyazma.txt"
PEN	    = "countries/Penza.txt"
NNO	    = "countries/Nizhny Novgorod.txt"
QAS	    = "countries/Qasim.txt"
KHY	    = "countries/Khlynov.txt"
MVI	    = "countries/Mordovia.txt"
VOR	    = "countries/Voronezh.txt"
MRL	    = "countries/Mari El.txt"
DRU	    = "countries/Drutsk.txt"
KOM	    = "countries/Komi.txt"
UMN	    = "countries/Uman.txt"
GZA	    = "countries/Gazaria.txt"
ZND	    = "countries/Zenden.txt"
TLG	    = "countries/Three Leagues.txt"
BAR	    = "countries/BAR.txt"
HGN	    = "countries/Hagenau.txt"
KMS	    = "countries/Kamasia.txt"
ERZ	    = "countries/Erzya.txt"
BSR	    = "countries/Besermyan.txt"
UDM	    = "countries/Udmurtia.txt"
CKH	    = "countries/Cheremis.txt"
KDA	    = "countries/Koda.txt"
BLG	    = "countries/Belgorye.txt"
SKW	    = "countries/Skewbald.txt"
AOS	    = "countries/Aosta.txt"
STW	    = "countries/Sitawaka.txt"
DGH	    = "countries/Deogarh.txt" 
JEY     = "countries/Jaypore.txt"
KNK	    = "countries/Kanker.txt"
PTN	    = "countries/Patna.txt"
KNJ	    = "countries/Keonjhar.txt"
MYB	    = "countries/Mayurbhanj.txt"
KLH	    = "countries/Kalahandi.txt"
BDH	    = "countries/Baudh.txt" 
DHK	    = "countries/Dhenkanal.txt" 
SBP	    = "countries/Sambalpur.txt"
BMR	    = "countries/Bamra.txt" 
CHU	    = "countries/Chero.txt" 
KHW	    = "countries/Kharwar.txt"
BHJ	    = "countries/Bhumij.txt"
KHD	    = "countries/Khandesh.txt"
MWA	    = "countries/Malwa.txt"
DLT	    = "countries/Daulatabad.txt"
KNL	    = "countries/Kurnool.txt"
PKK	    = "countries/Palakkad.txt"
CBH	    = "countries/Cooch Bihar.txt"
MZM	    = "countries/Mizoram.txt"
CKM	    = "countries/Chakma.txt"
TRP	    = "countries/Twipra.txt"
KHA	    = "countries/Khasi Hill States.txt"
GRO	    = "countries/Garo Hill States.txt"
KLY	    = "countries/Kalay.txt"
BCH	    = "countries/Chin State.txt"
NGA	    = "countries/Nagaland.txt"
MSH	    = "countries/Mishmi.txt"
MKW	    = "countries/Mongkawng.txt"
MST	    = "countries/Mustang.txt"
CLS	    = "countries/Chilas.txt"
CMB	    = "countries/Chamba.txt"
MNI	    = "countries/Mandi.txt"
MTN	    = "countries/Multan.txt"
AIN	    = "countries/Ainu.txt"
EVK	    = "countries/Evenkia.txt"
NNY	    = "countries/Nanay.txt"
TPN	    = "countries/Turpan.txt"
CHR	    = "countries/Chakhar.txt"
ORD	    = "countries/Ordos.txt"
PLV	    = "countries/Pulnavat.txt"
DBR	    = "countries/Dobrudzha.txt"
HOJ	    = "countries/Hojo.txt"
TKD	    = "countries/Takeda.txt"
IKK	    = "countries/Ikko.txt"
UES	    = "countries/Uesagi.txt"
ASN	    = "countries/Ashina.txt"
GMO	    = "countries/Gamo.txt"
AKT	    = "countries/Akita.txt"
MGI	    = "countries/Mogami.txt"
SND	    = "countries/Senday.txt"
MRI	    = "countries/Mori.txt"
UKT	    = "countries/Ukita.txt"
AZI	    = "countries/Azai.txt"
KJO	    = "countries/Kujo.txt"
MYH	    = "countries/Miyoshi.txt"
CSK	    = "countries/Chosokabe.txt"
KNO	    = "countries/Kono.txt"
ICJ	    = "countries/Ichijo.txt"
HYU	    = "countries/Hyuga.txt"
RYZ	    = "countries/Ryuzoji.txt"

##HFM New Nations
SCL		= "countries/Schaumburg-Lippe.txt" #now Altmark
SWG		= "countries/Schwarzburg.txt" #now Lobdeburg-Rudolstadt
WLD		= "countries/Waldeck.txt" #now Paderborn
IMG		= "countries/Inner Mongolia.txt"
GUI		= "countries/Guizhou.txt"
LEG		= "countries/Legation Cities.txt"
NIA		= "countries/Nian.txt"
CRB		= "countries/Caribbean Federation.txt"
WSF 	= "countries/Zapadoslavia.txt"
RUM		= "countries/Eastern Rumelia.txt" #now Rum
#URP 	= "countries/United Principalities.txt" 
GCF 	= "countries/German Confederation.txt"
SMR		= "countries/San Marino.txt"
SAA 	= "countries/Saar.txt"
LAU 	= "countries/Lauenburg.txt"
#HQJ		= "countries/Black Flag.txt"
TST		= "countries/South Tirol.txt"
MAU		="countries/Mauritius.txt"
SEY		="countries/Seychelles.txt"
IOT		="countries/Indian Ocean Territory.txt"
SGP		="countries/Singapore.txt"
MTQ		="countries/Martinique.txt"
SVA		="countries/Svaneti.txt"
MIG		="countries/Mingrelia.txt"
CHH		="countries/Chhatarpur.txt"
REW		="countries/Rewah.txt"
GEN 	="countries/Genoa.txt"

##HPM
ATC		="countries/Antillean Confederation.txt"
ZOU		="countries/Zoutpansberg.txt"
VLK		="countries/Volkstaat.txt"
MNP		="countries/Manipur.txt"
NMB		="countries/Namibia.txt"
TMR		="countries/Timor.txt"
SLG		="countries/Selangor.txt"
PRK		="countries/Perak.txt"
PHG		="countries/Pahang.txt"
HBY		="countries/Hobyo.txt"
QAT		="countries/Qatar.txt"
BRY		="countries/Buryatia.txt"
MLD		="countries/Maldives.txt"
KAR		="countries/Karen.txt"
CRL		="countries/Chitral.txt"
RDL		="countries/Ardalan.txt"
BTL		="countries/Bitlis.txt"
BDN		="countries/Bahdinan.txt"
BNB		="countries/Baban.txt"
MKN		="countries/Mukriyan.txt"
BHT		="countries/Bohtan.txt"
SRN		="countries/Soran.txt"
LBG		="countries/Limburg.txt"
PNB		="countries/Pernambuco.txt"
SYC		="countries/Sicily.txt"
ABK		="countries/Abkhazia.txt"
SBA		="countries/Buenos Aires.txt"  #now al-Humr slave rebellion
LHJ		="countries/Lahej.txt"
FDL		="countries/Fadhli.txt"
KTH		="countries/Kathiri.txt"
MHR		="countries/Mahra.txt"
KML		="countries/Kumul.txt" #now Dulat Zhuz
SHK		="countries/Shilluk.txt"
WRL 	="countries/Warsangali.txt"
EZO		="countries/Ezo.txt"
CHY		="countries/Chechnya.txt"
CHK		="countries/Champasak.txt"
MGH		="countries/Maghreb.txt"

#Latin America

BAH		= "countries/Bahia.txt" #now al-Humr revolt
CHP		= "countries/Chiapas.txt"
GUY		= "countries/Guyana.txt"
PTG		= "countries/Patagonia.txt"
YUC		= "countries/Yucatan.txt"

#North America
GRN		= "countries/Greenland.txt"
JAM		= "countries/Jamaica.txt"
LSK		= "countries/Alaska.txt"
PRI		= "countries/Puerto Rico.txt"
TTB		= "countries/Trinidad.txt"

#Europe
ALS		= "countries/Elsass.txt"
BRT		= "countries/Brittany.txt"
BSQ		= "countries/Basqueland.txt"
CRS		= "countries/Corsica.txt"
DLM		= "countries/Dalmatia.txt"
ENL		= "countries/England.txt"
GLC		= "countries/Galicia.txt"
GLM		= "countries/Galicia-Lodomeria.txt"
IBR		= "countries/Iberia.txt"
LOR		= "countries/Lorraine.txt"
MCD		= "countries/Macedonia.txt"
MLT		= "countries/Malta.txt"
SRD		= "countries/Sardinia.txt"
SVY		= "countries/Savoy.txt"
SWH		= "countries/Schleswig-Holstein.txt"
WHA		= "countries/Wales.txt"

#Germany
LUZ		= "countries/Luzica.txt"
PML		= "countries/Pomerelia.txt"
PZN		= "countries/Poznan.txt"
SLS		= "countries/Silesia.txt"

#Russia
AKH		= "countries/Astrakhan.txt"
ALT		= "countries/Altai Republic.txt"
CPL		= "countries/Congress Poland.txt"
DON		= "countries/Cossackia.txt"
IZH		= "countries/Ingria.txt"
KAZ 	= "countries/Kazakhstan.txt"
KAM 	= "countries/Kamchatka.txt"
#KMK		= "countries/Kalmykia.txt"
KRL		= "countries/Karelia.txt"
SIB		= "countries/Siberian Republic.txt" #Sibir
TAR 	= "countries/Tatarstan.txt"
TNT		= "countries/Tannu Tuva.txt"
URA 	= "countries/Ural Republic.txt" #Perm
YAK 	= "countries/Yakutia.txt"

#Middle East
ARU		= "countries/Arab Union.txt"
ASY		= "countries/Assyria.txt"
BHR		= "countries/Bahrain.txt"
CIR		= "countries/Circassia.txt"
CLC		= "countries/Cilicia.txt"
DAG		= "countries/Dagestan.txt"
HAL		= "countries/Hail.txt"
HTY		= "countries/Hatay.txt"
KDS		= "countries/Kurdistan.txt"
#KWT		= "countries/Kuwait.txt"
KYR		= "countries/Kyrgyzstan.txt"
LBN		= "countries/Lebanon.txt"
NYE		= "countries/North Yemen.txt"
PNT		= "countries/Pontus.txt"
SYR		= "countries/Syria.txt"
TAJ		= "countries/Tajikstan.txt"
TCA		= "countries/Transcaucasia.txt"
TKM		= "countries/Turkmenistan.txt"
TKS		= "countries/Turkestan.txt"
UYG		= "countries/Uyghurstan.txt"
UZB		= "countries/Uzbekistan.txt"
TIM		= "countries/Timurid.txt"
BLC		= "countries/Baluchistan.txt"

#India
ASM		= "countries/Assam.txt"
BIH		= "countries/Bihar.txt"
BNG		= "countries/Bengal.txt"
DRA		= "countries/Dravidistan.txt"
KRN		= "countries/Karnatak.txt"
MAH		= "countries/Maharashtra.txt"
RAJ		= "countries/Rajputana.txt"
SRI		= "countries/Sri Lanka.txt"

#HPM Africa
#BKF		="countries/Burkina Faso.txt"
ZBW		="countries/Zimbabwe.txt" #Rozvi
CMS		="countries/Comoros.txt"
#EQG		="countries/Equatorial Guinea.txt"
#KHO		="countries/Khoisan.txt"

#Africa
AGC		= "countries/Angoche.txt"
#ANG		= "countries/Angola.txt"
ARO		= "countries/Aro.txt"
ASH		= "countries/Ashanti.txt"
AWS		= "countries/Awsa.txt"
AZA		= "countries/Azande.txt"
BEN		= "countries/Benin.txt"
BRD		= "countries/Urundi.txt"
BSH		= "countries/Basotho.txt"
BUG		= "countries/Buganda.txt"
#CAR		= "countries/Central African Republic.txt"
#CGO		= "countries/Congo-Brazzaville.txt"
#CHD		= "countries/Chad.txt"
CLA		= "countries/Calabar.txt"
#CMR		= "countries/Cameroon.txt"
CYR		= "countries/Cyrenaica.txt"
DAH		= "countries/Dahomey.txt"
DAM		= "countries/Damagaram.txt"
DAR		= "countries/Darfur.txt"
DND		= "countries/Dendi.txt"
GAB		= "countries/Gabon.txt"
GAZ		= "countries/Gaza.txt"
GBU		= "countries/Gabu.txt"
GEL		= "countries/Geledi.txt"
GMB		= "countries/Gambia.txt"
#GNE		= "countries/Guinea.txt"
GON		= "countries/Gonder.txt"
HAR		= "countries/Harar.txt"
#IVC		= "countries/Ivory Coast.txt"
JAL		= "countries/Jallon.txt"
KAF		= "countries/Kaffa.txt"
KBO		= "countries/Kanem-Bornu.txt"
KNG		= "countries/Kong.txt"
KNY		= "countries/Kenya.txt"
KON		= "countries/Kongo.txt"
KUB		= "countries/Kuba.txt"
KZB		= "countries/Kazembe.txt"
LBA		= "countries/Luba.txt"
LBY		= "countries/Libya.txt"
LOA		= "countries/Loango.txt"
LUN		= "countries/Lunda.txt"
MAJ		= "countries/Majeerteen.txt"
MAS		= "countries/Massina.txt"
MAT		= "countries/Matabele.txt"
MLI		= "countries/Mali.txt"
MLW		= "countries/Malawi.txt"
MOS		= "countries/Mossi.txt"
#MOZ		= "countries/Mozambique.txt"
#NGR		= "countries/Nigeria.txt"
#NIG		= "countries/Niger.txt"
OYO		= "countries/Oyo.txt"
RWA		= "countries/Ruanda.txt"
SEG		= "countries/Segu.txt"
SHO		= "countries/Shona.txt"
SHW		= "countries/Shewa.txt"
SID		= "countries/Sidama.txt"
#SLE		= "countries/Sierra Leone.txt"
#SNG		= "countries/Senegal.txt"
SOM		= "countries/Somalia.txt"
SUA		= "countries/Suazi.txt"
SUD		= "countries/Sudan.txt"
TIG		= "countries/Tigray.txt"
#TNZ		= "countries/Tanzania.txt"
