From;To;Type;Through;Data;Comment
1071;1141;sea;2787;0;Lengeh - Homuz Strait
#1083;1086;sea;2832;0;Tatar Straits
1087;1643;sea;2831;0;La Perouse Strait
1162;1165;sea;2788;0;Bahrain Strait
1309;1322;sea;2794;0;Palk Strait #Ceylon-S India
1310;1322;sea;2794;0;Palk Strait #Ceylon-S India
1384;1402;sea;2814;0;Straits of Johore
1384;1385;sea;2814;0;Straits of Johore to Singapore
1403;1413;land;2805;0;Sunda Strait
#1412;1851;sea;2782;0;Aden Strait
#1412;1875;sea;2782;0;Aden Strait
1418;1421;sea;2811;0;Strait of Madura
1420;1438;sea;2811;0;Bali Strait
1438;1442;sea;2811;0;Lombok Strait
1442;1440;sea;2811;0;Sumbawa Strait
1495;1499;sea;2823;0;Hainan Strait
1457;1461;sea;2849;0;Tacloban Strait
1640;1660;land;2843;0;Fukuoka Strait
1642;1672;sea;2841;0;Hakodate Strait
#1664;1666;land;2843;0;Matsuyama Strait
1667;1659;land;2843;0;Setto Strait
1411;1408;sea;2803;0;Gunungsitoli Strait
1404;1399;land;2813;0;Palak Panang Strait
1402;1398;sea;2814;0;Tanjungpinang Strait
1458;1455;land;2848;0;Mindoro Strait
1458;1459;sea;2848;0;Mindoro Strait
1458;1460;land;2850;0;Mindoro Strait
2565;1461;land;2850;0;Cebu Strait
2565;1460;land;2850;0;Cebu Strait
1461;1463;land;2850;0;Davao Strait
1462;1460;land;2850;0;Iloilo Strait
1462;1464;sea;2851;0;Sulu Strait
1440;1439;sea;2810;0;Sumbawa-Flores Strait
1440;1441;sea;2808;0;Sumbawa-Sumba Strait
1441;1443;sea;2809;0;Sumba-Roti Strait
1443;1445;sea;2809;0;Roti-Kaupeng Strait
1439;1444;sea;2809;0;Flores-Alor Strait
1444;1446;sea;2809;0;Alor-Dili Strait
1444;1451;sea;2854;0;Alor-Aru Strait
1446;1451;sea;2854;0;Dili-Aru Strait
1450;1449;sea;2853;0;Ceram-Ambon Strait
1449;1447;sea;2852;0;Ambon Strait
1447;1448;sea;2853;0;Ternate-Jilolo Strait
1451;1453;sea;2862;0;Aru-Sorong Strait
1450;1453;sea;2853;0;Ceram-Sorong Strait
1447;1434;sea;2852;0;Ternate Strait
1437;1436;sea;2810;0;Bulon-Kendari Strait
1435;1425;sea;2812;0;Palu-Tarakan Strait
1644;1089;sea;2839;0;Nemuru-Etorofu Strait
1089;1088;sea;2839;0;Etorofu-Shumshu Strait
#1088;1074;sea;2838;0;Shumshu-Petropavlovsk Strait
1679;1678;sea;2845;0;Amari-Okinawa Strait
1637;1635;sea;2829;0;Cheju-Kwangju Strait
3825;3828;land;3896;0;Zafarabad-Rangpur Ganga Crossing
1224;3820;land;3895;0;Dakha-Bhalwa Ganga Crossing
3826;3820;land;3895;0;Faridpur-Bhalwa Ganga Crossing
3821;3820;land;2796;0;Shujabad-Bhalwa Ganga Crossing
#
# Oceanian Straits
#
2512;2516;sea;2876;0;Cook Strait #NZ
2512;2516;sea;2881;0;Cook Strait #NZ
2537;1531;sea;2858;0;Villan Strait #New Britain-New Ireland

#
# Impassables
#
1326;1589;impassable;0;0;scary mountain
1326;1592;impassable;0;0;scary mountain
1328;1589;impassable;0;0;scary mountain
1329;1589;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1593;impassable;0;0;scary mountain
1258;1593;impassable;0;0;scary mountain
1260;1593;impassable;0;0;scary mountain
1259;1593;impassable;0;0;scary mountain
1238;1592;impassable;0;0;scary mountain
1244;1592;impassable;0;0;scary mountain
1235;1592;impassable;0;0;scary mountain
1226;1592;impassable;0;0;scary mountain
1327;1592;impassable;0;0;scary mountain
1328;1592;impassable;0;0;scary mountain
1225;1594;impassable;0;0;scary mountain
1226;1594;impassable;0;0;scary mountain
1210;1594;impassable;0;0;scary mountain
1208;1594;impassable;0;0;scary mountain

#Alps
2669;735;impassable;0;0;Sondrio-Bozen
2669;734;impassable;0;0;Sondrio-Trent
2669;727;impassable;0;0;Sondrio-Bergamo
2669;728;impassable;0;0;Sondrio-Brescia
611;2568;impassable;0;0;Chur-Lugano
611;727;impassable;0;0;Chur-Bergamo
3262;734;impassable;0;0;Belluno-Trent
3262;735;impassable;0;0;Belluno-Bozen
3262;615;impassable;0;0;Belluno-Lienz
3262;618;impassable;0;0;Belluno-Klagenfurt
722;605;impassable;0;0;Novara-Bern
606;722;impassable;0;0;Lucerne-Novara
3272;722;impassable;0;0;Brig-Novara
3272;721;impassable;0;0;Brig-Aosta
609;721;impassable;0;0;Hariodinga-Aosta
3420;465;impassable;0;0;Asti-Waslijng
3420;469;impassable;0;0;Asti-Digne
720;469;impassable;0;0;Torino-Digne
3251;469;impassable;0;0;Alba-Digne
3251;471;impassable;0;0;Alba-Freja
594;3262;impassable;0;0;Brixen-Belluno
733;615;impassable;0;0;Udine-Lienz
733;3297;impassable;0;0;Udine-Lienz

#Carpathian Mauntains
636;704;impassable;0;0;Banska Bystrica-Nowy Sad
636;2584;impassable;0;0;Banska Bystrica-Bielsko
638;705;impassable;0;0;Presov-Przemysl
3278;3332;impassable;0;0;Jaroslaw-Chust
953;3332;impassable;0;0;Halyc-Chust
705;3332;impassable;0;0;Przemysl-Chust
953;3333;impassable;0;0;Halyc-Maramos
662;3333;impassable;0;0;Cernauti-Maramos
672;660;impassable;0;0;Bacau-Maramos
659;668;impassable;0;0;Brasso-Braila
659;667;impassable;0;0;Brasso-Tirgoviste
665;656;impassable;0;0;Tirgo Jiu-Deva
665;653;impassable;0;0;Tirgo Jiu-Resicabanya

#Balkans
789;3299;impassable;0;0;Livno-Trevnik
788;783;impassable;0;0;Mostar-Sarajevo
788;787;impassable;0;0;Mostar-Foca
2569;787;impassable;0;0;Niksic-Foca
2583;2577;impassable;0;0;Cetinje-Pljevlja

850;807;impassable;0;0;Orosh-Strpce

3677;812;impassable;0;0;Plovdiv-Pleven
816;812;impassable;0;0;Stara Zagora-Pleven
816;813;impassable;0;0;Stara Zagora-Shumen

808;809;impassable;0;0;Kavala-Plodiv
808;3677;impassable;0;0;Kavala-Plodiv
823;3677;impassable;0;0;Kavala-Plodiv
823;815;impassable;0;0;Kavala-Kardzhali

853;820;impassable;0;0;Gjirokaster-Grebena
824;820;impassable;0;0;Janina-Grebena
825;820;impassable;0;0;Arta-Grebena
825;833;impassable;0;0;Arta-Trikkala
837;833;impassable;0;0;Missolonghi-Trikkala
837;836;impassable;0;0;Missolonghi-Lamia

#Caucasus
#Caucasus Major
3274;1051;impassable;0;0;Svateni-Sukhumi
3274;1056;impassable;0;0;Svateni-Pyatigorsk
3274;3397;impassable;0;0;Svateni-Elbrus

1095;3401;impassable;0;0;Sukhumi-Abdzakh
1095;3349;impassable;0;0;Sukhumi-Ashuwa
1095;3397;impassable;0;0;Sukhumi-Elbrus

1092;1056;impassable;0;0;Kutaisi-Pyatigorsk

3364;3318;impassable;0;0;Mtsekhi-Nasran
3364;1055;impassable;0;0;Mtsekhi-Sölsha Gala

3363;1053;impassable;0;0;Kakheti-Gunib
3363;3315;impassable;0;0;Kakheti-Aghwali
3363;1055;impassable;0;0;Kakheti-Sölsha Gala

3366;1053;impassable;0;0;Ilisu-Gunib

1104;3317;impassable;0;0;Sheki-Tsakhur

3320;3647;impassable;0;0;Quba-Kaitag
3320;3314;impassable;0;0;Quba-Akhty

1103;3314;impassable;0;0;Siyazen-Akhty

3370;3314;impassable;0;0;Shirvan-Akhty

3753;3314;impassable;0;0;Lahij-Akhty
3753;3317;impassable;0;0;Lahij-Tsakhur

#Caucasus Minor
1093;1096;impassable;0;0;Akhaltsikhe-Batumi
1093;1092;impassable;0;0;Akhaltsikhe-Kutaisi
1093;1090;impassable;0;0;Akhaltsikhe-Tblisi

1099;3369;impassable;0;0;Gyumri-Ashtarak
#1099;3367;impassable;0;0;Gyumri-Qazakh
1099;1090;impassable;0;0;Gyumri-Tblisi

3369;3367;impassable;0;0;Ashtarak-Qazakh
3369;1105;impassable;0;0;Ashtarak-Ganjeh
3369;3749;impassable;0;0;Ashtarak-Khanlar

3750;3749;impassable;0;0;Istisu-Khanlar

3751;3752;impassable;0;0;Julfa-Kelbajar

1100;3368;impassable;0;0;Kapan-Shusha


#Anatolia
3377;882;impassable;0;0;Bayburt-Trebizond
3377;3371;impassable;0;0;Bayburt-Rizini
1093;1090;impassable;0;0;Akhaltsikhe-Tblisi

876;880;impassable;0;0;Ankara-Kastamonu
876;881;impassable;0;0;Ankara-Bolu

895;3658;impassable;0;0;Mersin-Karaman
895;3337;impassable;0;0;Mersin-Aksaray
3339;3337;impassable;0;0;Quzan-Aksaray
3339;878;impassable;0;0;Quzan-Kayseri
3339;3417;impassable;0;0;Quzan-Elbestan


#Iranian Plateau
#Zagros
890;3651;impassable;0;0;Van-Maku

892;1109;impassable;0;0;Bay-Khvoy
892;3652;impassable;0;0;Bay-Salamis

924;3652;impassable;0;0;Amedi-Salamis

928;3652;impassable;0;0;Soran-Salamis

3629;1118;impassable;0;0;Sulaymaniyeh-Sanandaj
3629;1117;impassable;0;0;Sulaymaniyeh-Saqqez
3629;1119;impassable;0;0;Sulaymaniyeh-Kermanshah

1120;3667;impassable;0;0;Khorramabad-Dehloran
1120;3453;impassable;0;0;Khorramabad-Chavar
1133;4117;impassable;0;0;Dezful-Golpayegan

1134;4116;impassable;0;0;Dehkord-Izeh
1137;4116;impassable;0;0;Yasuj-Izeh
4117;4116;impassable;0;0;Golpayegan-Izeh
3388;4118;impassable;0;0;Behbahan-Kazerun

4123;1120;impassable;0;0;Nahavand-Khorramabad

#Albruz
1107;1112;impassable;0;0;Lankara-Ardabil

3383;1112;impassable;0;0;Astara-Ardabil
3383;1123;impassable;0;0;Astara-Zanjan

1114;3639;impassable;0;0;Noshehr-Rudbar
1114;1124;impassable;0;0;Noshehr-Tehran
1114;1121;impassable;0;0;Noshehr-Qazvin

1115;3611;impassable;0;0;Amol-Semnan
1115;1126;impassable;0;0;Amol-Damghan

#Central Iranian Range
3391;3389;impassable;0;0;Lar-Jahrom
3391;1139;impassable;0;0;Lar-Sirjan

1139;3635;impassable;0;0;Sirjan-Darab
4127;3640;impassable;0;0;Rafsanjan-Bafq
4127;1130;impassable;0;0;Rafsanjan-Yazd

4126;1130;impassable;0;0;Varzaneh-Yazd

#Suleyman and Hindukush
1221;3340;impassable;0;0;Kalat-Sibi
1221;1289;impassable;0;0;Kalat-Shikarpur 
3839;1228;impassable;0;0;Loralai-Shikarpur
3839;1221;impassable;0;0;Loralai-Kalat
1222;1289;impassable;0;0;Bela-Sukkur
1217;1218;impassable;0;0;Ghazni-Peshawar
1217;3840;impassable;0;0;Ghazni-Zhob

1216;2591;impassable;0;0;Jalalabad-Qonduz
1216;1210;impassable;0;0;Jalalabad-Faizabad
3624;1210;impassable;0;0;Nuristan-Faizabad
3624;3394;impassable;0;0;Nuristan-Kohistan
1223;1210;impassable;0;0;Chitral-Faizabad
1223;3625;impassable;0;0;Chitral-Wakhan
1223;3623;impassable;0;0;Chitral-Gilgit
1223;3899;impassable;0;0;Chitral-Eshkashem
3624;3899;impassable;0;0;Nuristan-Eshkashem
1216;3899;impassable;0;0;Jalalabad-Eshkashem
1216;4046;impassable;0;0;Jalalabad-Warsuch
3395;3625;impassable;0;0;Karimabad-Wakhan
1226;3313;impassable;0;0;Leh-Yarkant
1226;3622;impassable;0;0;Leh-Sarikol

#Pamir
3621;1594;impassable;0;0;Murghab-Kashgar
3621;4000;impassable;0;0;Murghab-Qyzyloy
3898;4000;impassable;0;0;Qarakul-Qyzyloy
1203;4000;impassable;0;0;Osh-Qyzyloy
4043;3619;impassable;0;0;Vamar-Khomb
4043;3898;impassable;0;0;Vamar-Qarakul
3619;3898;impassable;0;0;Khomb-Qarakul

#India
#Western Ghats
1318;1310;impassable;0;0;Cochin-Madurai
1318;1311;impassable;0;0;Cochin-Coimbatore
3772;1314;impassable;0;0;Palakkad-Nilgiri
1317;1314;impassable;0;0;Kolizhode-Nilgiri
3810;1302;impassable;0;0;Ratnagiri-Belgaum
1297;1301;impassable;0;0;Raigad-Kolhapur
3861;1298;impassable;0;0;Navsari-Nasik

#Eastern Ghats
3263;3794;impassable;0;0;Srikakulam-Bhawanipatna
3263;3792;impassable;0;0;Srikakulam-Jaypur

#Gondwana
1277;1276;impassable;0;0;Nagpur-Hoshangabad
1277;1278;impassable;0;0;Nagpur-Amarati
1275;1274;impassable;0;0;Jubbalpur-Rewa

#Aravalli-Range
1269;3402;impassable;0;0;Udaipur-Mandsaur

#Himalayas
1224;1226;impassable;0;0;Srinagar-Leh
1235;1226;impassable;0;0;Shimla-Leh
1226;1598;impassable;0;0;Leh-Khotan
1226;3765;impassable;0;0;Leh-Aksai Chin
3833;1226;impassable;0;0;Chamba-Leh
1238;3831;impassable;0;0;Dehra Dun-Zhongba
3859;3831;impassable;0;0;Kumaroan-Zhongba
3853;3831;impassable;0;0;Doti-Zhongba
1327;3831;impassable;0;0;Jumla-Zhongba
3855;1589;impassable;0;0;Pokhara-Shigatse
3856;1589;impassable;0;0;Dolakha-Shigatse
3858;1589;impassable;0;0;Biratnagar-Shigatse

#Rakhine Mountains
3745;1339;impassable;0;0;Hakha-Monywa
3745;1337;impassable;0;0;Hakha-Prome
3745;1336;impassable;0;0;Hakha-Magwe
3745;1335;impassable;0;0;Hakha-Sittwe


#Tien Shan+Turkestan Chain
1594;3664;impassable;0;0;Kashgar-Kyzylsu
4001;3664;impassable;0;0;Tumshuq-Kyzylsu
1203;3664;impassable;0;0;Osh-Kyzylsu
1203;1190;impassable;0;0;Osh-Naryn
3616;1190;impassable;0;0;Andijon-Naryn
3616;4060;impassable;0;0;Andijon-Tarkand
4087;4060;impassable;0;0;AwliyaAta-Tarkand
4061;4060;impassable;0;0;Pskem-Tarkand
4061;3615;impassable;0;0;Pskem-Namagan
4061;1201;impassable;0;0;Pskem-Khujand
4061;4087;impassable;0;0;Pskem-AwliyaAta
4061;4064;impassable;0;0;Pskem-Chimkand
4086;4060;impassable;0;0;Merke-AwliyaAta
1190;4087;impassable;0;0;Naryn-AwliyaAta
1190;4086;impassable;0;0;Naryn-Merke
1597;4087;impassable;0;0;Aksu-Monggolküre
4002;4007;impassable;0;0;Kuchar-Monggolküre
4002;1595;impassable;0;0;Kuchar-Qulja
3312;1595;impassable;0;0;Qarashahr-Qulja
3312;4009;impassable;0;0;Qarashahr-Chöchek
3312;1600;impassable;0;0;Qarashahr-Urumshi
3312;4005;impassable;0;0;Qarashahr-Turpan
4011;4005;impassable;0;0;Gusheng-Turpan
4010;4008;impassable;0;0;Bartola-Jarkand
4010;4015;impassable;0;0;Bartola-Tamshybulak
3618;3620;impassable;0;0;Ayni-Uroteppa
3618;3617;impassable;0;0;Ayni-Hisar
3618;4059;impassable;0;0;Ayni-Sukh
4059;3617;impassable;0;0;Sukh-Hisar
4050;3617;impassable;0;0;Qorganteppeh-Hisar
4040;3617;impassable;0;0;Qarategin-Hisar
4040;4059;impassable;0;0;Qarategin-Sukh
4040;3898;impassable;0;0;Qarategin-Qarakul
4063;4059;impassable;0;0;Qyzylsu-Sukh
4063;4062;impassable;0;0;Qyzylsu-Marghelan

#Alaskan Panhandle
2;6;impassable;0;0;
2;17;impassable;0;0;
1;15;impassable;0;0;
1;16;impassable;0;0;
1;17;impassable;0;0;

#Siberia
2687;2682;impassable;0;0;Northern urals
2689;2682;impassable;0;0;Northern urals
2689;1062;impassable;0;0;Northern urals
1026;1062;impassable;0;0;Northern urals
2659;2657;impassable;0;0;Yamal-Yenisei
2659;2692;impassable;0;0;Yamal-Yenisei
2615;2692;impassable;0;0;Yamal-Yenisei
2646;2692;impassable;0;0;Yamal-Yenisei
2654;2653;impassable;0;0;Yenisei-Yakut
2654;2673;impassable;0;0;Yenisei-Yakut
2693;2673;impassable;0;0;Yenisei-Yakut
2655;2673;impassable;0;0;Yenisei-Yakut
2655;2651;impassable;0;0;Yenisei-Yakut
2675;2651;impassable;0;0;Yenisei-Yakut

#Pyrennes
496;460;impassable;0;0;Hindukush
493;460;impassable;0;0;Hindukush
496;457;impassable;0;0;Hindukush
500;457;impassable;0;0;Hindukush
#
# The canals
#
2711;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
2715;2716;canal;3361;7;White Sea Canal
#517;2590;canal;2746;8;Strait of Gibraltar
#2724;2723;canal;301;6;English Channel
3372;3373;canal;1039;9;Don Volga Portage
3607;3115;canal;163;8;Shikaakwa Canal
3113;3114;canal;54;6;Aamjiwnaang Canal
3112;3113;canal;55;10;Tinawatwa Canal

-1;-1;;-1;-1;
